a_year,country_name,age_group,political_extremity_norm,social_trust_norm,digital_media_norm,Q240_extreme,Q240_placement_left_right
2017,Argentina,18-29,0.25,0.22222222222222227,0.875,0,7.0
2017,Argentina,45-59,0.0,0.42857142857142855,0.0,0,6.0
2017,Argentina,45-59,0.5,0.09523809523809529,0.0,1,3.0
2017,Argentina,60-74,0.0,0.523809523809524,0.875,0,6.0
2017,Argentina,30-44,0.0,0.5714285714285714,0.0,0,5.0
2017,Argentina,18-29,0.0,0.6190476190476191,0.25,0,5.0
2017,Bolivia,45-59,0.75,0.22222222222222227,1.0,1,2.0
2017,Bolivia,18-29,1.0,0.23809523809523808,0.0,1,1.0
2017,Bolivia,75+,0.0,0.22222222222222227,1.0,0,6.0
2017,Bolivia,30-44,0.75,0.4761904761904761,1.0,1,9.0
2017,Bolivia,18-29,0.0,0.42857142857142855,0.25,0,6.0
2017,Bolivia,30-44,0.0,0.3333333333333333,0.5,0,5.0
2017,Bolivia,45-59,0.0,0.23809523809523808,1.0,0,5.0
2017,Bolivia,30-44,0.5,0.3333333333333333,0.0,1,3.0
2017,Bolivia,30-44,0.0,0.42857142857142855,0.5,0,5.0
2017,Bolivia,18-29,0.0,0.5714285714285714,0.0,0,5.0
2017,Bolivia,60-74,1.0,0.42857142857142855,1.0,1,10.0
2017,Bolivia,18-29,0.0,0.23809523809523808,0.0,0,5.0
2017,Bolivia,18-29,0.0,0.28571428571428575,0.5,0,6.0
2017,Bolivia,45-59,0.0,0.42857142857142855,0.0,0,5.0
2017,Bolivia,30-44,0.0,0.5714285714285714,0.0,0,5.0
2017,Bolivia,30-44,0.0,0.28571428571428575,0.0,0,5.0
2017,Bolivia,45-59,0.0,0.523809523809524,1.0,0,5.0
2017,Bolivia,60-74,0.25,0.3333333333333333,1.0,0,4.0
2017,Bolivia,18-29,0.0,0.4761904761904761,0.0,0,5.0
2017,Bolivia,30-44,0.25,0.3809523809523809,1.0,0,4.0
2017,Bolivia,60-74,1.0,0.6190476190476191,1.0,1,1.0
2017,Bolivia,18-29,0.25,0.6666666666666667,0.0,0,7.0
2017,Bolivia,30-44,0.0,0.4761904761904761,0.25,0,5.0
2017,Bolivia,30-44,0.25,0.23809523809523808,0.25,0,7.0
2017,Bolivia,30-44,0.0,0.6666666666666667,0.0,0,5.0
2017,Bolivia,18-29,0.0,0.3809523809523809,0.25,0,5.0
2017,Bolivia,45-59,0.0,0.3809523809523809,1.0,0,5.0
2017,Bolivia,45-59,0.0,0.3333333333333333,0.0,0,6.0
2017,Bolivia,75+,0.0,0.14285714285714285,1.0,0,5.0
2018,Brazil,45-59,0.5,0.3333333333333333,0.0,1,3.0
2018,Brazil,45-59,0.0,0.4761904761904761,1.0,0,5.0
2018,Brazil,18-29,0.0,0.14285714285714285,0.0,0,5.0
2018,Brazil,30-44,0.0,0.3333333333333333,1.0,0,5.0
2018,Brazil,60-74,0.25,0.523809523809524,1.0,0,7.0
2018,Brazil,45-59,0.0,0.4761904761904761,0.75,0,5.0
2018,Brazil,60-74,0.5,0.8095238095238095,0.0,1,8.0
2018,Brazil,60-74,0.0,0.6666666666666667,0.0,0,5.0
2018,Brazil,45-59,1.0,0.09523809523809529,1.0,1,10.0
2018,Brazil,45-59,1.0,0.523809523809524,0.0,1,1.0
2018,Brazil,45-59,0.0,0.42857142857142855,0.5,0,5.0
2018,Brazil,18-29,1.0,0.523809523809524,0.0,1,10.0
2018,Brazil,30-44,0.0,0.28571428571428575,0.125,0,6.0
2018,Brazil,18-29,1.0,0.6190476190476191,0.5,1,10.0
2018,Brazil,30-44,0.0,0.24999999999999994,0.0,0,5.0
2018,Brazil,45-59,1.0,0.6666666666666667,0.0,1,10.0
2018,Brazil,30-44,0.5,0.4761904761904761,0.0,1,8.0
2018,Brazil,18-29,0.0,0.28571428571428575,0.0,0,5.0
2018,Brazil,60-74,1.0,0.26666666666666666,1.0,1,10.0
2018,Brazil,30-44,0.0,0.23809523809523808,1.0,0,5.0
2018,Brazil,45-59,0.0,0.26666666666666666,1.0,0,5.0
2018,Brazil,30-44,0.0,0.3809523809523809,0.0,0,5.0
2018,Brazil,60-74,0.0,0.6190476190476191,0.75,0,6.0
2018,Brazil,18-29,0.0,0.5555555555555556,0.0,0,5.0
2018,Brazil,30-44,0.5,0.3333333333333333,0.0,1,3.0
2018,Brazil,45-59,0.75,0.23809523809523808,0.25,1,2.0
2018,Brazil,75+,1.0,0.7619047619047619,1.0,1,10.0
2018,Brazil,45-59,0.0,0.6666666666666667,0.0,0,5.0
2018,Brazil,30-44,0.0,0.3333333333333333,0.0,0,6.0
2018,Brazil,18-29,0.0,0.1333333333333333,0.0,0,5.0
2018,Brazil,45-59,1.0,0.6666666666666667,0.0,1,10.0
2018,Brazil,30-44,0.0,0.42857142857142855,0.0,0,5.0
2018,Brazil,30-44,0.0,0.5555555555555556,0.0,0,5.0
2018,Brazil,45-59,1.0,0.4761904761904761,1.0,1,10.0
2018,Brazil,30-44,0.0,0.28571428571428575,0.0,0,5.0
2018,Brazil,30-44,0.0,0.6666666666666667,0.0,0,6.0
2018,Brazil,60-74,0.25,0.523809523809524,1.0,0,7.0
2018,Brazil,45-59,0.0,0.3333333333333333,0.125,0,5.0
2018,Brazil,18-29,0.0,0.4761904761904761,0.0,0,5.0
2018,Brazil,30-44,0.25,0.5714285714285714,0.5,0,7.0
2018,Brazil,45-59,1.0,0.42857142857142855,0.125,1,10.0
2018,Brazil,45-59,0.0,0.3888888888888888,0.5,0,5.0
2018,Brazil,18-29,0.5,0.42857142857142855,0.0,1,8.0
2018,Brazil,45-59,0.0,0.3333333333333333,0.0,0,5.0
2018,Brazil,30-44,1.0,0.5555555555555556,0.0,1,1.0
2018,Brazil,18-29,0.0,0.4166666666666667,0.0,0,5.0
2018,Brazil,18-29,1.0,0.5555555555555556,0.0,1,10.0
2018,Brazil,18-,1.0,0.3333333333333333,0.0,1,10.0
2018,Brazil,30-44,0.0,0.523809523809524,0.5,0,5.0
2018,Brazil,18-,0.0,0.23809523809523808,0.125,0,5.0
2018,Brazil,60-74,0.0,0.523809523809524,0.0,0,5.0
2018,Brazil,45-59,0.25,0.3333333333333333,0.5,0,7.0
2018,Brazil,18-,0.5,0.28571428571428575,0.0,1,3.0
2018,Brazil,60-74,1.0,0.7142857142857142,1.0,1,1.0
2018,Brazil,18-29,0.0,0.6190476190476191,0.25,0,5.0
2018,Brazil,30-44,0.5,0.523809523809524,0.0,1,3.0
2018,Brazil,45-59,0.0,0.3333333333333333,0.0,0,5.0
2018,Brazil,18-29,0.0,0.5714285714285714,0.0,0,6.0
2018,Brazil,45-59,0.0,0.4444444444444445,0.625,0,5.0
2018,Brazil,45-59,0.0,0.7619047619047619,0.5,0,5.0
2018,Brazil,18-29,0.0,0.4761904761904761,0.0,0,5.0
2018,Brazil,60-74,0.0,0.28571428571428575,1.0,0,5.0
2018,Brazil,60-74,0.0,0.6190476190476191,0.875,0,5.0
2018,Brazil,45-59,0.0,0.3333333333333333,0.5,0,5.0
2018,Brazil,18-29,0.0,0.6190476190476191,0.0,0,6.0
2018,Brazil,30-44,0.0,0.523809523809524,0.0,0,5.0
2018,Brazil,30-44,0.0,0.28571428571428575,0.0,0,5.0
2018,Brazil,45-59,0.0,0.42857142857142855,0.0,0,5.0
2018,Brazil,30-44,0.25,0.28571428571428575,0.5,0,4.0
2018,Brazil,45-59,0.0,0.523809523809524,0.5,0,5.0
2018,Brazil,18-29,1.0,0.5714285714285714,0.125,1,1.0
2018,Brazil,30-44,0.0,0.42857142857142855,0.0,0,6.0
2018,Brazil,30-44,0.0,0.9523809523809523,0.5,0,5.0
2018,Brazil,18-29,0.75,0.3809523809523809,0.875,1,9.0
2018,Brazil,45-59,0.0,0.6190476190476191,0.25,0,5.0
2018,Brazil,45-59,0.0,0.523809523809524,0.5,0,5.0
2018,Brazil,30-44,1.0,0.1904761904761904,0.0,1,1.0
2018,Brazil,60-74,0.0,0.523809523809524,0.0,0,5.0
2018,Brazil,30-44,1.0,0.7142857142857142,1.0,1,10.0
2018,Brazil,30-44,0.0,0.3809523809523809,1.0,0,5.0
